Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
10,85,12,4, False
10,84,10,4, False
10,83,3,5, False
10,82,3,5, False
10,81,-4,1, True
10,80,0,5, False
10,79,13,4, False
10,78,4,1, True
10,77,9,4, True
10,76,15,4, False
10,75,11,2, True
10,74,3,1, True
10,73,1,1, False
10,72,1,1, False
10,71,2,1, False
10,70,0,1, True
10,69,11,4, False
10,68,1,1, False
10,67,8,4, True
10,66,9,2, True
10,65,13,4, False
10,64,7,5, False
10,63,7,2, True
10,62,13,4, False
10,61,10,4, False
10,60,8,4, True
10,59,3,1, True
10,58,10,4, False
10,57,0,5, False
10,56,0,5, False
10,55,12,4, False
10,54,4,5, False
10,53,-6,1, True
10,52,12,4, False
10,51,-2,5, True
10,50,-5,1, True
10,49,11,3, True
10,48,13,3, False
10,47,12,3, True
10,46,12,2, False
10,45,4,1, True
10,44,5,1, False
10,43,13,2, False
10,42,11,2, True
10,41,12,2, True
10,40,13,4, False
10,39,13,3, True
10,38,13,3, False
10,37,5,1, False
10,36,8,4, True
10,35,9,1, True
10,34,15,2, False
10,33,18,3, False
10,32,18,3, False
10,31,24,2, False
10,30,20,2, False
10,29,18,2, False
10,28,18,2, False
10,27,15,1, False
10,26,20,2, False
10,25,19,3, False
10,24,15,3, False
10,23,13,1, False
10,22,16,2, False
10,21,13,1, False
10,20,15,1, True
10,19,19,2, False
10,18,15,3, False
10,17,14,3, False
10,16,2,1, False
10,15,1,1, False
10,14,5,1, True
10,13,-3,1, True
10,12,-3,5, True
10,11,8,4, True
10,10,10,2, True
10,9,14,2, False
10,8,6,1, True
10,7,10,1, False
10,6,11,1, False
10,5,17,2, False
10,4,15,2, True
10,3,14,1, True
10,2,21,2, False
10,1,14,1, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
38,14,49,2, False
38,13,17,1, True
38,12,44,2, False
38,11,47,3, False
38,10,46,3, False
38,9,16,1, False
38,8,46,2, False
38,7,21,1, False
38,6,33,4, True
38,5,45,2, False
38,4,44,3, False
38,3,7,1, False
38,2,40,2, False
38,1,18,1, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
33,37,6,1, False
33,36,-1,1, False
33,35,32,4, False
33,34,31,4, False
33,33,36,3, False
33,32,1,5, False
33,31,29,4, False
33,30,-8,1, True
33,29,32,4, True
33,28,39,4, False
33,27,38,3, True
33,26,38,4, False
33,25,40,3, False
33,24,3,5, False
33,23,2,5, False
33,22,33,4, False
33,21,3,5, False
33,20,-3,5, False
33,19,-7,1, False
33,18,34,4, False
33,17,29,2, False
33,16,-1,1, False
33,15,34,2, False
33,14,1,1, False
33,13,34,2, False
33,12,-6,5, True
33,11,41,3, False
33,10,-2,5, False
33,9,34,2, False
33,8,36,3, False
33,7,-4,5, False
33,6,-8,1, False
33,5,29,4, False
33,4,-6,5, False
33,3,-7,5, False
33,2,28,4, True
33,1,30,4, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
92,49,98,2, False
92,48,103,3, False
92,47,-11,1, True
92,46,108,3, False
92,45,-13,5, False
92,44,83,2, False
92,43,5,1, False
92,42,19,1, False
92,41,100,2, False
92,40,14,1, False
92,39,106,2, False
92,38,85,4, False
92,37,112,3, False
92,36,-3,1, False
92,35,81,2, False
92,34,-4,1, False
92,33,97,2, False
92,32,105,3, False
92,31,99,3, False
92,30,3,1, False
92,29,97,2, False
92,28,104,3, False
92,27,23,1, False
92,26,111,2, False
92,25,36,1, False
92,24,118,2, False
92,23,42,1, False
92,22,113,2, False
92,21,47,1, False
92,20,111,2, False
92,19,114,3, False
92,18,24,1, False
92,17,112,2, False
92,16,30,1, False
92,15,118,2, False
92,14,92,2, False
92,13,108,3, False
92,12,8,1, False
92,11,92,2, False
92,10,3,1, False
92,9,97,2, False
92,8,111,3, False
92,7,102,3, False
92,6,1,1, True
92,5,92,2, True
92,4,93,2, False
92,3,-4,1, False
92,2,95,2, False
92,1,103,3, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
21,40,-2,1, False
21,39,-4,5, False
21,38,16,4, True
21,37,-6,5, True
21,36,2,1, False
21,35,22,2, False
21,34,23,2, False
21,33,26,3, False
21,32,20,2, False
21,31,-6,5, True
21,30,0,1, True
21,29,6,1, True
21,28,28,3, False
21,27,25,3, False
21,26,2,1, False
21,25,21,4, False
21,24,-9,1, True
21,23,21,4, False
21,22,-7,1, False
21,21,-4,5, True
21,20,19,4, True
21,19,22,2, False
21,18,28,3, False
21,17,-2,5, True
21,16,25,3, False
21,15,21,3, True
21,14,1,5, True
21,13,23,4, False
21,12,-5,1, False
21,11,19,4, True
21,10,26,4, False
21,9,26,4, False
21,8,27,3, False
21,7,-5,5, False
21,6,20,2, False
21,5,-3,1, True
21,4,7,1, False
21,3,8,1, False
21,2,4,1, False
21,1,25,2, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
53,64,65,2, False
53,63,69,3, False
53,62,63,3, False
53,61,31,1, False
53,60,21,1, False
53,59,65,2, False
53,58,36,1, False
53,57,66,2, False
53,56,72,3, False
53,55,23,1, True
53,54,66,3, False
53,53,23,1, True
53,52,60,3, True
53,51,58,2, False
53,50,72,3, False
53,49,0,1, True
53,48,43,4, False
53,47,6,1, False
53,46,54,2, False
53,45,-5,1, False
53,44,51,2, False
53,43,57,3, False
53,42,54,3, True
53,41,59,3, False
53,40,-1,1, True
53,39,57,3, True
53,38,68,3, False
53,37,60,3, False
53,36,-5,1, True
53,35,58,3, True
53,34,50,4, False
53,33,63,3, False
53,32,60,3, False
53,31,-11,1, False
53,30,-11,1, True
53,29,54,2, False
53,28,55,3, False
53,27,-7,1, False
53,26,49,2, False
53,25,-6,5, False
53,24,49,4, False
53,23,56,3, False
53,22,-7,5, False
53,21,-17,1, True
53,20,-12,1, True
53,19,45,4, False
53,18,17,1, False
53,17,48,4, False
53,16,9,1, False
53,15,5,1, False
53,14,5,1, True
53,13,66,3, False
53,12,68,3, False
53,11,23,1, False
53,10,23,1, False
53,9,41,4, False
53,8,16,1, False
53,7,61,2, False
53,6,20,1, False
53,5,69,2, False
53,4,19,1, False
53,3,53,2, False
53,2,4,1, False
53,1,65,2, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
60,92,58,2, False
60,91,65,3, True
60,90,76,3, False
60,89,81,3, False
60,88,77,3, False
60,87,-3,1, False
60,86,64,2, False
60,85,73,3, False
60,84,70,3, False
60,83,-14,1, False
60,82,55,2, False
60,81,62,3, True
60,80,80,3, False
60,79,84,3, False
60,78,73,3, False
60,77,68,3, False
60,76,-5,1, False
60,75,-9,1, True
60,74,64,4, False
60,73,70,3, False
60,72,-6,5, False
60,71,59,4, False
60,70,-19,1, False
60,69,53,4, False
60,68,-10,5, False
60,67,53,4, False
60,66,-14,5, True
60,65,-14,1, False
60,64,53,4, False
60,63,-7,1, False
60,62,56,4, False
60,61,-13,1, False
60,60,56,4, True
60,59,54,2, False
60,58,75,3, False
60,57,67,3, False
60,56,62,3, False
60,55,-3,1, False
60,54,51,2, False
60,53,63,3, False
60,52,-1,1, True
60,51,69,3, False
60,50,-5,1, False
60,49,59,2, False
60,48,3,1, False
60,47,4,1, False
60,46,57,4, False
60,45,52,4, False
60,44,-14,5, True
60,43,-5,5, False
60,42,56,4, False
60,41,-11,5, False
60,40,48,4, True
60,39,61,4, False
60,38,56,4, True
60,37,60,4, False
60,36,70,3, False
60,35,-2,5, False
60,34,66,4, False
60,33,-22,1, False
60,32,53,4, True
60,31,66,4, False
60,30,47,2, True
60,29,75,3, False
60,28,68,3, False
60,27,0,5, False
60,26,55,4, False
60,25,-25,1, True
60,24,-22,1, True
60,23,52,4, True
60,22,56,4, False
60,21,-16,1, False
60,20,61,4, False
60,19,12,5, False
60,18,68,4, False
60,17,54,4, False
60,16,-8,5, False
60,15,49,4, True
60,14,59,4, False
60,13,64,3, False
60,12,-21,1, True
60,11,62,3, True
60,10,60,4, True
60,9,62,4, True
60,8,68,4, False
60,7,73,3, False
60,6,68,3, False
60,5,-12,1, False
60,4,65,4, False
60,3,-15,1, False
60,2,60,4, False
60,1,64,3, True
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
99,69,111,3, False
99,68,-6,1, True
99,67,115,3, False
99,66,-2,1, False
99,65,95,4, True
99,64,105,2, False
99,63,89,2, False
99,62,115,3, False
99,61,106,3, False
99,60,4,1, True
99,59,93,2, False
99,58,7,1, False
99,57,-4,1, False
99,56,116,2, False
99,55,127,3, False
99,54,122,3, False
99,53,111,3, False
99,52,30,1, False
99,51,99,2, False
99,50,14,1, False
99,49,106,2, False
99,48,14,1, False
99,47,107,2, False
99,46,112,3, False
99,45,12,1, False
99,44,116,2, False
99,43,17,1, False
99,42,114,2, False
99,41,28,1, True
99,40,107,2, False
99,39,126,3, False
99,38,43,1, True
99,37,120,2, False
99,36,142,3, False
99,35,121,3, False
99,34,47,1, False
99,33,122,2, False
99,32,34,1, False
99,31,121,2, False
99,30,114,3, False
99,29,24,1, False
99,28,117,2, False
99,27,26,1, False
99,26,120,2, False
99,25,111,3, False
99,24,108,3, True
99,23,122,3, False
99,22,16,1, False
99,21,109,2, False
99,20,92,2, False
99,19,108,3, False
99,18,-5,1, False
99,17,86,4, False
99,16,108,3, False
99,15,-8,1, False
99,14,-4,1, False
99,13,94,2, False
99,12,105,3, False
99,11,15,1, False
99,10,77,4, True
99,9,103,2, False
99,8,113,3, False
99,7,1,1, False
99,6,95,2, False
99,5,-37,5, True
99,4,101,2, False
99,3,8,1, False
99,2,104,2, False
99,1,7,1, True
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
54,8,20,1, False
54,7,70,2, False
54,6,55,2, True
54,5,67,2, False
54,4,67,3, False
54,3,64,3, False
54,2,18,1, False
54,1,16,1, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
23,97,24,2, False
23,96,8,1, False
23,95,26,2, False
23,94,5,1, True
23,93,30,2, False
23,92,25,2, False
23,91,23,2, False
23,90,30,3, False
23,89,27,2, True
23,88,27,3, False
23,87,0,1, False
23,86,-8,5, True
23,85,3,1, False
23,84,21,2, True
23,83,25,2, False
23,82,33,3, False
23,81,26,3, False
23,80,26,3, False
23,79,26,4, False
23,78,5,5, True
23,77,31,3, False
23,76,29,3, False
23,75,25,4, True
23,74,0,5, True
23,73,27,4, False
23,72,7,5, False
23,71,7,5, False
23,70,27,4, False
23,69,22,4, True
23,68,21,4, True
23,67,24,3, True
23,66,22,4, False
23,65,-3,1, True
23,64,22,2, False
23,63,-4,5, False
23,62,24,2, False
23,61,2,1, True
23,60,24,2, False
23,59,29,3, False
23,58,27,3, False
23,57,25,3, True
23,56,24,3, True
23,55,-6,1, True
23,54,23,4, False
23,53,6,1, False
23,52,21,4, False
23,51,5,1, False
23,50,22,2, False
23,49,-5,5, False
23,48,26,2, False
23,47,13,1, False
23,46,9,1, False
23,45,29,2, False
23,44,4,1, False
23,43,25,2, False
23,42,12,1, False
23,41,19,4, True
23,40,25,2, True
23,39,23,4, True
23,38,36,3, False
23,37,30,3, False
23,36,9,1, False
23,35,22,4, True
23,34,31,3, False
23,33,29,3, False
23,32,28,2, False
23,31,10,1, False
23,30,29,2, False
23,29,26,3, True
23,28,31,2, False
23,27,4,1, False
23,26,22,4, False
23,25,2,1, False
23,24,2,1, False
23,23,23,2, False
23,22,-2,1, False
23,21,21,4, True
23,20,25,4, False
23,19,2,1, False
23,18,23,4, False
23,17,-1,1, False
23,16,24,4, False
23,15,-4,1, False
23,14,22,4, False
23,13,-6,1, True
23,12,21,4, False
23,11,0,1, False
23,10,24,2, False
23,9,6,1, False
23,8,6,1, False
23,7,22,4, False
23,6,25,3, True
23,5,23,4, False
23,4,28,3, False
23,3,29,3, False
23,2,28,3, False
23,1,1,1, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
29,23,10,1, False
29,22,34,2, False
29,21,5,1, False
29,20,6,1, False
29,19,36,2, False
29,18,2,1, False
29,17,35,2, False
29,16,37,3, False
29,15,34,3, False
29,14,-2,5, False
29,13,0,5, False
29,12,32,4, False
29,11,-3,1, False
29,10,28,4, False
29,9,-14,1, True
29,8,-10,1, True
29,7,30,4, False
29,6,-3,5, True
29,5,33,4, False
29,4,44,3, False
29,3,36,3, False
29,2,37,3, False
29,1,34,3, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
59,44,20,5, False
59,43,67,4, False
59,42,21,5, False
59,41,63,4, True
59,40,63,4, False
59,39,4,5, False
59,38,56,4, False
59,37,7,5, False
59,36,58,4, False
59,35,-1,5, False
59,34,66,4, False
59,33,-9,1, False
59,32,49,4, True
59,31,-5,1, True
59,30,6,5, False
59,29,55,4, False
59,28,-10,5, False
59,27,51,4, False
59,26,-9,5, False
59,25,-11,1, True
59,24,52,4, False
59,23,-16,1, True
59,22,50,4, False
59,21,63,3, True
59,20,66,3, False
59,19,65,3, False
59,18,-4,1, False
59,17,47,4, True
59,16,57,2, False
59,15,63,3, False
59,14,-8,5, True
59,13,10,1, False
59,12,58,4, False
59,11,-1,1, False
59,10,57,2, False
59,9,65,3, False
59,8,-13,5, True
59,7,52,2, False
59,6,63,3, True
59,5,66,3, False
59,4,-3,5, False
59,3,55,4, False
59,2,-21,1, True
59,1,68,4, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
67,82,64,2, False
67,81,-2,1, False
67,80,67,2, False
67,79,13,1, False
67,78,72,2, False
67,77,15,1, False
67,76,57,4, False
67,75,-8,1, False
67,74,54,2, True
67,73,68,4, False
67,72,71,3, False
67,71,-9,5, False
67,70,-12,1, False
67,69,60,4, False
67,68,-13,5, False
67,67,-11,1, False
67,66,61,2, False
67,65,-7,5, False
67,64,52,4, True
67,63,61,2, False
67,62,70,3, False
67,61,-5,1, False
67,60,68,2, False
67,59,75,3, False
67,58,-5,1, False
67,57,60,4, False
67,56,-13,1, False
67,55,59,4, False
67,54,-6,5, False
67,53,60,4, False
67,52,77,3, False
67,51,71,3, False
67,50,-11,1, False
67,49,-7,5, False
67,48,58,4, False
67,47,-17,1, False
67,46,55,2, False
67,45,-4,5, False
67,44,66,4, False
67,43,-17,1, False
67,42,68,4, False
67,41,-20,1, False
67,40,54,4, True
67,39,71,4, False
67,38,61,4, False
67,37,-23,1, True
67,36,0,5, False
67,35,68,4, False
67,34,63,4, False
67,33,-7,5, True
67,32,63,4, False
67,31,-7,1, True
67,30,71,4, False
67,29,86,3, False
67,28,78,3, False
67,27,-4,5, False
67,26,66,4, False
67,25,-15,1, False
67,24,71,4, False
67,23,-27,1, False
67,22,14,5, False
67,21,49,2, True
67,20,73,4, False
67,19,14,5, False
67,18,65,4, False
67,17,5,5, False
67,16,69,4, False
67,15,11,5, False
67,14,65,4, False
67,13,0,5, False
67,12,65,4, False
67,11,-5,5, False
67,10,63,4, False
67,9,-7,5, False
67,8,-22,1, False
67,7,64,4, False
67,6,-3,5, False
67,5,-26,1, True
67,4,61,4, False
67,3,-21,1, False
67,2,53,2, False
67,1,-1,5, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
9,28,11,2, False
9,27,-2,5, True
9,26,11,2, False
9,25,6,1, False
9,24,12,2, False
9,23,6,1, False
9,22,6,1, True
9,21,10,1, True
9,20,13,2, True
9,19,13,3, False
9,18,2,1, True
9,17,10,2, False
9,16,12,3, True
9,15,15,3, False
9,14,10,2, False
9,13,2,5, True
9,12,12,2, False
9,11,-5,5, True
9,10,10,2, False
9,9,13,3, False
9,8,10,3, True
9,7,12,3, False
9,6,11,3, True
9,5,11,2, False
9,4,12,2, True
9,3,12,3, False
9,2,6,1, False
9,1,6,1, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
5,2,0,5, True
5,1,1,5, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
68,55,-14,5, True
68,54,72,2, False
68,53,78,3, False
68,52,-11,5, False
68,51,57,2, False
68,50,-15,5, False
68,49,56,4, False
68,48,-2,1, False
68,47,58,4, False
68,46,-9,1, False
68,45,59,4, False
68,44,-18,5, True
68,43,-12,5, True
68,42,61,4, False
68,41,79,3, False
68,40,-10,5, False
68,39,55,2, True
68,38,62,4, False
68,37,-11,1, False
68,36,59,4, False
68,35,-9,5, False
68,34,61,4, False
68,33,-11,1, False
68,32,-11,1, True
68,31,57,2, False
68,30,74,3, False
68,29,77,3, False
68,28,70,3, True
68,27,65,4, False
68,26,77,3, False
68,25,-22,1, True
68,24,60,4, False
68,23,71,3, True
68,22,77,3, False
68,21,78,3, False
68,20,-7,5, True
68,19,74,3, False
68,18,-8,5, False
68,17,69,4, False
68,16,-20,1, False
68,15,62,4, False
68,14,-3,5, False
68,13,-7,5, False
68,12,-21,1, False
68,11,65,4, False
68,10,-12,5, False
68,9,58,4, False
68,8,-18,1, False
68,7,-9,5, False
68,6,-19,1, False
68,5,65,4, False
68,4,-10,5, False
68,3,-20,1, False
68,2,-6,5, False
68,1,58,4, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
31,61,36,2, True
31,60,15,1, True
31,59,38,2, False
31,58,44,3, False
31,57,47,3, False
31,56,44,3, False
31,55,32,3, True
31,54,7,1, False
31,53,33,2, False
31,52,37,3, False
31,51,12,1, False
31,50,9,1, False
31,49,30,4, False
31,48,4,1, False
31,47,36,2, False
31,46,32,2, False
31,45,1,1, False
31,44,29,4, True
31,43,30,4, False
31,42,34,3, False
31,41,2,1, False
31,40,-3,1, False
31,39,29,4, False
31,38,-4,1, False
31,37,0,1, False
31,36,27,4, False
31,35,4,1, False
31,34,29,4, False
31,33,2,1, False
31,32,31,2, False
31,31,2,5, False
31,30,32,4, False
31,29,-7,1, False
31,28,28,4, False
31,27,5,5, False
31,26,-3,5, False
31,25,32,4, False
31,24,-4,1, False
31,23,28,2, False
31,22,-6,1, True
31,21,34,3, True
31,20,36,4, False
31,19,1,5, False
31,18,29,4, False
31,17,2,5, False
31,16,31,4, False
31,15,-7,1, True
31,14,29,4, True
31,13,33,3, True
31,12,30,4, False
31,11,32,3, True
31,10,35,3, False
31,9,6,5, False
31,8,31,4, False
31,7,31,4, True
31,6,39,4, False
31,5,4,5, False
31,4,35,4, False
31,3,-1,5, True
31,2,30,4, False
31,1,40,3, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
60,82,59,2, False
60,81,-6,5, False
60,80,47,4, True
60,79,51,4, False
60,78,-14,1, False
60,77,47,2, True
60,76,-10,5, False
60,75,52,4, False
60,74,-7,1, False
60,73,51,2, False
60,72,-13,5, False
60,71,52,4, False
60,70,-15,1, False
60,69,53,4, False
60,68,50,4, True
60,67,59,4, False
60,66,-19,1, False
60,65,-3,5, True
60,64,1,5, False
60,63,61,4, False
60,62,-13,1, False
60,61,59,4, False
60,60,3,5, False
60,59,57,4, False
60,58,-8,5, True
60,57,-14,1, False
60,56,53,4, False
60,55,-10,5, False
60,54,58,4, False
60,53,-14,1, False
60,52,60,4, False
60,51,10,5, False
60,50,64,4, False
60,49,71,3, False
60,48,64,3, False
60,47,-4,5, False
60,46,54,4, False
60,45,-16,1, False
60,44,50,4, True
60,43,-14,5, False
60,42,56,4, False
60,41,-15,1, False
60,40,-4,5, False
60,39,59,4, False
60,38,-18,1, True
60,37,51,4, False
60,36,-16,1, False
60,35,61,4, False
60,34,-14,1, False
60,33,58,4, False
60,32,0,5, False
60,31,-5,5, False
60,30,-11,5, False
60,29,-12,1, False
60,28,61,2, False
60,27,51,2, False
60,26,67,3, False
60,25,64,3, False
60,24,-10,1, False
60,23,56,2, False
60,22,-15,5, True
60,21,55,2, True
60,20,53,4, False
60,19,6,1, False
60,18,67,3, True
60,17,76,3, False
60,16,9,1, True
60,15,9,1, False
60,14,62,2, False
60,13,66,3, False
60,12,3,1, False
60,11,57,2, False
60,10,57,2, True
60,9,48,4, True
60,8,50,4, False
60,7,1,1, False
60,6,57,2, False
60,5,-11,5, True
60,4,66,3, True
60,3,68,3, False
60,2,68,3, False
60,1,-3,1, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
2,13,3,5, True
2,12,4,3, True
2,11,4,3, True
2,10,4,4, True
2,9,4,4, True
2,8,3,5, True
2,7,2,5, True
2,6,2,5, True
2,5,2,5, True
2,4,2,5, True
2,3,2,2, True
2,2,2,2, True
2,1,3,5, True
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
48,80,40,4, True
48,79,50,4, False
48,78,68,3, False
48,77,57,3, False
48,76,52,3, False
48,75,-11,5, False
48,74,-9,1, False
48,73,-11,1, True
48,72,42,4, False
48,71,-12,5, True
48,70,41,2, True
48,69,45,4, False
48,68,56,3, False
48,67,5,1, False
48,66,43,2, True
48,65,44,2, False
48,64,54,3, False
48,63,3,1, True
48,62,51,3, True
48,61,0,1, False
48,60,45,2, True
48,59,50,2, False
48,58,45,2, False
48,57,56,3, False
48,56,45,4, False
48,55,55,3, False
48,54,-11,1, True
48,53,46,4, True
48,52,51,4, False
48,51,53,3, False
48,50,-20,1, True
48,49,-12,1, True
48,48,43,4, False
48,47,49,3, True
48,46,51,3, False
48,45,-16,1, True
48,44,50,3, False
48,43,-13,5, False
48,42,0,1, False
48,41,-4,1, False
48,40,52,2, False
48,39,45,4, False
48,38,1,1, False
48,37,42,4, True
48,36,51,4, False
48,35,59,3, True
48,34,57,4, False
48,33,60,3, False
48,32,54,3, False
48,31,-8,5, True
48,30,44,4, False
48,29,-12,1, False
48,28,49,4, False
48,27,0,5, False
48,26,52,4, False
48,25,-17,1, False
48,24,55,4, False
48,23,11,5, False
48,22,61,4, False
48,21,50,4, False
48,20,48,4, False
48,19,6,5, False
48,18,47,4, True
48,17,7,5, False
48,16,46,4, False
48,15,3,5, False
48,14,-3,5, False
48,13,48,4, False
48,12,-21,1, True
48,11,9,5, False
48,10,58,4, False
48,9,2,5, True
48,8,56,4, False
48,7,53,3, False
48,6,-4,5, False
48,5,53,4, False
48,4,46,4, True
48,3,52,4, False
48,2,55,3, False
48,1,0,5, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
73,99,-2,5, False
73,98,65,4, False
73,97,-13,5, False
73,96,-6,1, False
73,95,69,2, True
73,94,72,2, False
73,93,82,3, False
73,92,-14,5, False
73,91,69,2, False
73,90,79,3, False
73,89,7,1, False
73,88,76,2, False
73,87,86,3, True
73,86,88,3, False
73,85,33,1, False
73,84,89,2, False
73,83,-4,1, True
73,82,73,2, False
73,81,87,3, False
73,80,-4,1, False
73,79,69,2, False
73,78,65,2, False
73,77,91,3, False
73,76,-9,1, False
73,75,65,4, False
73,74,79,3, False
73,73,1,1, False
73,72,59,4, True
73,71,84,3, False
73,70,-2,1, False
73,69,73,4, False
73,68,78,3, False
73,67,-5,1, False
73,66,63,4, True
73,65,67,2, False
73,64,60,2, True
73,63,-7,1, False
73,62,66,2, False
73,61,81,3, False
73,60,-4,1, False
73,59,65,4, False
73,58,80,3, False
73,57,-2,1, False
73,56,64,2, False
73,55,-5,1, False
73,54,70,2, False
73,53,-9,1, False
73,52,67,2, False
73,51,-10,5, False
73,50,65,4, False
73,49,-5,1, False
73,48,72,2, False
73,47,3,5, False
73,46,74,4, False
73,45,3,5, False
73,44,71,4, False
73,43,-5,5, False
73,42,79,4, False
73,41,-14,1, False
73,40,71,4, False
73,39,-9,5, True
73,38,8,5, False
73,37,86,4, False
73,36,79,4, False
73,35,87,3, False
73,34,3,5, False
73,33,69,4, False
73,32,-6,5, False
73,31,-16,1, False
73,30,60,4, False
73,29,-21,1, False
73,28,59,2, False
73,27,-10,1, False
73,26,-20,5, False
73,25,65,2, False
73,24,75,3, False
73,23,-7,1, False
73,22,60,4, True
73,21,90,3, False
73,20,80,3, False
73,19,79,3, False
73,18,9,1, False
73,17,72,2, False
73,16,13,1, False
73,15,61,4, True
73,14,87,2, False
73,13,81,2, False
73,12,92,3, False
73,11,21,1, False
73,10,90,2, False
73,9,88,3, False
73,8,20,1, False
73,7,82,2, False
73,6,23,1, False
73,5,87,2, False
73,4,46,1, False
73,3,44,1, False
73,2,94,2, False
73,1,55,1, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
30,16,2,5, False
30,15,1,5, True
30,14,30,2, False
30,13,35,3, False
30,12,8,5, False
30,11,8,5, False
30,10,12,5, False
30,9,3,5, True
30,8,-6,1, False
30,7,31,2, False
30,6,23,2, True
30,5,-3,5, False
30,4,28,4, False
30,3,-6,1, False
30,2,28,4, False
30,1,-3,5, False
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
31,96,28,2, False
31,95,20,5, False
31,94,36,4, True
31,93,33,4, False
31,92,0,5, False
31,91,26,2, False
31,90,-1,5, False
31,89,-4,5, False
31,88,26,2, False
31,87,-5,1, False
31,86,28,4, False
31,85,-6,5, False
31,84,-4,1, False
31,83,28,2, False
31,82,-5,5, False
31,81,-10,5, True
31,80,-4,1, False
31,79,27,2, True
31,78,30,2, False
31,77,-8,5, False
31,76,27,2, True
31,75,32,2, False
31,74,27,2, False
31,73,-7,1, True
31,72,26,2, True
31,71,30,2, False
31,70,-4,1, True
31,69,29,4, False
31,68,1,5, True
31,67,38,3, False
31,66,7,5, False
31,65,30,4, False
31,64,31,3, True
31,63,38,3, False
31,62,-3,5, False
31,61,24,2, True
31,60,30,4, False
31,59,36,3, False
31,58,-4,5, False
31,57,-6,1, False
31,56,32,4, False
31,55,3,5, False
31,54,30,4, False
31,53,3,5, False
31,52,37,4, False
31,51,34,3, True
31,50,35,4, False
31,49,-4,5, True
31,48,32,4, False
31,47,35,3, False
31,46,3,1, False
31,45,29,2, False
31,44,-10,5, True
31,43,27,2, False
31,42,-8,5, False
31,41,26,4, False
31,40,-3,1, False
31,39,30,4, False
31,38,-5,1, False
31,37,27,2, False
31,36,30,2, False
31,35,36,3, False
31,34,32,2, False
31,33,33,3, False
31,32,-2,1, False
31,31,29,2, False
31,30,27,2, True
31,29,31,4, False
31,28,-3,1, True
31,27,29,4, False
31,26,0,5, False
31,25,25,4, True
31,24,31,4, False
31,23,39,3, False
31,22,34,3, False
31,21,-9,5, False
31,20,-9,5, True
31,19,-1,5, False
31,18,31,4, False
31,17,2,1, False
31,16,31,2, False
31,15,-5,1, False
31,14,35,2, False
31,13,-7,5, False
31,12,27,4, False
31,11,-8,1, True
31,10,-4,5, True
31,9,37,3, False
31,8,3,5, False
31,7,0,5, False
31,6,31,4, False
31,5,-5,1, False
31,4,31,2, False
31,3,-6,5, False
31,2,29,2, False
31,1,-11,5, True
,,,,
,,,,
Total Amount of People,"	Election Cycle Number","	Total Happiness","	Winner","	Tie or Not "
31,46,36,2, False
31,45,35,2, False
31,44,36,3, False
31,43,32,3, True
31,42,1,5, False
31,41,34,4, False
31,40,31,4, False
31,39,-3,5, False
31,38,-10,1, False
31,37,30,4, False
31,36,3,5, False
